City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
189,kristiansund,63.1115,7.732,288.18,94,100,3.09,NO
190,scarborough,54.2797,-0.4044,287.91,92,100,3.58,GB
191,gallup,35.5281,-108.7426,295.57,59,0,3.6,US
192,gaigeturi,33.4644,126.3183,302.49,72,50,1.17,KR
193,ambanja,-13.6833,48.45,292.23,68,1,1.83,MG
194,termas de rio hondo,-27.4998,-64.8604,285.88,62,20,2.02,AR
195,san antonio de pale,-1.4014,5.6325,295.99,90,100,5.08,GQ
196,rosarito,32.3333,-117.0333,295.68,74,24,2.96,MX
197,as sulayyil,20.4607,45.5779,306.2,11,82,4.14,SA
198,susuman,62.7833,148.1667,282.55,82,100,2.74,RU
199,eyl,7.9803,49.8164,297.97,65,47,11.06,SO
200,antofagasta,-23.65,-70.4,290.75,86,63,2.19,CL
201,fortuna,40.5982,-124.1573,290.33,81,0,4.63,US
202,acapulco de juarez,16.8634,-99.8901,302.05,74,75,3.09,MX
203,foley,30.4066,-87.6836,302.48,81,75,0.45,US
204,berezovo,63.9381,65.0419,287.45,97,100,2.4,RU
205,ongjin,37.9347,125.3619,300.18,82,98,4.33,KP
206,atamanovka,51.93,113.63,294.39,96,100,1.76,RU
207,castillos,-34.1667,-53.8333,282.39,82,0,5.97,UY
208,milazzo,38.2212,15.2383,299.45,59,0,4.47,IT
209,isangel,-19.55,169.2667,295.68,53,72,7.75,VU
210,kerikeri,-35.2268,173.9474,289.21,82,19,2.24,NZ
211,hamilton,39.1834,-84.5333,301.71,74,0,7.72,US
212,fortaleza,-3.7227,-38.5247,300.22,74,0,5.66,BR
213,coron,11.9986,120.2043,301.68,81,95,8.33,PH
214,manta,-0.95,-80.7333,298.71,73,40,5.81,EC
215,okhotsk,59.3833,143.3,291.3,80,92,1.55,RU
216,mbanza-ngungu,-5.25,14.8667,291.81,80,4,1.75,CD
217,colonia,50.9333,6.95,290.35,74,0,4.12,DE
218,otjiwarongo,-20.4637,16.6477,286.29,30,3,3.8,NA
219,fada,9.5667,8.3,292.98,95,96,0.48,NG
220,kijang,35.2442,129.2139,302.72,67,14,3.3,KR
221,whitehorse,60.7161,-135.0538,292.21,71,75,3.09,CA
222,praia da vitoria,38.7333,-27.0667,295.79,92,37,3.01,PT
223,saudarkrokur,65.7461,-19.6394,280.59,90,17,2.28,IS
224,crane,31.3974,-102.3501,304.13,30,37,5.83,US
225,queenstown,-31.8976,26.8753,282.49,87,38,1.75,ZA
226,nuuk,64.1835,-51.7216,280.49,87,100,6.71,GL
227,sao vicente,-23.9631,-46.3919,298.86,26,2,0.45,BR
228,tindouf,27.6711,-8.1474,297.4,31,0,7.72,DZ
229,rivne,50.6231,26.2274,286.19,96,100,7.6,UA
230,rundu,-17.9333,19.7667,285.71,51,0,1.79,NA
231,mandalgovi,45.7625,106.2708,296.24,33,4,1.27,MN
232,sungailiat,-1.85,106.1333,302.65,68,72,6.65,ID
233,holland,42.7875,-86.1089,295.68,96,100,0.0,US
234,saldanha,-33.0117,17.9442,285.77,90,95,4.87,ZA
235,st. john's,47.5649,-52.7093,292.68,80,100,8.75,CA
236,fedorovskiy,45.0972,40.9517,293.1,73,0,4.19,RU
237,badagry,6.4167,2.8833,297.59,93,99,3.49,NG
238,lauro de freitas,-12.8944,-38.3272,298.16,83,75,5.66,BR
239,kargasok,59.0556,80.8572,293.85,69,9,2.83,RU
240,carnarvon,-24.8667,113.6333,290.95,51,20,7.94,AU
241,san patricio,28.017,-97.5169,302.69,74,69,5.06,US
242,atafu village,-8.5421,-172.5159,301.69,75,100,8.03,TK
243,jalai nur,49.45,117.7,297.66,49,65,3.31,CN
244,naze,28.3667,129.4833,300.66,83,100,6.46,JP
245,sola,-13.8833,167.55,297.56,83,100,12.8,VU
246,mendi,-6.1761,143.6513,290.05,86,95,1.51,PG
247,petropavlovsk-kamchatsky,53.0452,158.6483,295.48,64,40,6.0,RU
248,divrigi,39.371,38.1137,295.33,38,0,1.36,TR
249,price,39.5994,-110.8107,296.74,46,0,2.57,US
250,saint-philippe,-21.3585,55.7679,291.92,82,59,5.04,RE
251,khovd,48.0056,91.6419,297.56,27,99,2.01,MN
252,bamboo flat,11.7,92.7167,303.2,79,40,5.14,IN
253,shenjiamen,29.9576,122.298,298.89,90,100,3.97,CN
254,seabra,-12.4186,-41.7703,289.22,96,95,1.67,BR
255,changzhou,31.7833,119.9667,304.94,60,88,5.88,CN
256,tazacorte,28.629,-17.9293,294.69,82,75,5.14,ES
257,muisne,0.6,-80.0333,298.4,81,91,2.78,EC
258,jamestown,42.097,-79.2353,294.27,97,100,4.12,US
259,kodiak,57.79,-152.4072,286.88,82,75,4.63,US
260,tuy hoa,13.0833,109.3,305.42,58,94,7.72,VN
261,kasane,-17.8167,25.15,284.87,67,0,1.94,BW
262,meulaboh,4.1363,96.1285,301.12,75,91,0.95,ID
263,angaur state,6.906,134.13,299.5,84,100,10.29,PW
264,weno,7.4515,151.8468,301.59,74,24,3.3,FM
265,tikhvin,59.6451,33.5294,287.71,99,51,1.97,RU
266,nadi,-17.8,177.4167,295.15,83,100,3.6,FJ
267,essaouira,31.5125,-9.77,293.87,87,0,4.12,MA
268,manismata,-2.4667,111.0333,303.17,57,27,2.75,ID
269,humberto de campos,-2.5983,-43.4611,297.45,86,9,2.4,BR
270,volosovo,59.4333,29.4833,286.29,99,79,2.64,RU
271,arraial do cabo,-22.9661,-42.0278,294.19,89,48,9.25,BR
272,mount isa,-20.7333,139.5,299.02,50,8,5.14,AU
273,dwarka,22.2394,68.9678,301.22,82,100,8.12,IN
274,santarem,-2.4431,-54.7083,297.22,100,0,0.0,BR
275,coronel moldes,-33.6227,-64.5971,280.83,48,93,2.89,AR
276,daru,-9.0763,143.2092,299.19,81,57,8.26,PG
277,la palma,33.8464,-118.0467,306.88,56,20,3.6,US
278,lazaro cardenas,17.9583,-102.2,301.22,77,74,2.35,MX
279,sisimiut,66.9395,-53.6735,277.49,91,49,3.48,GL
280,nar'yan-mar,67.6713,53.087,292.22,63,84,1.29,RU
281,boende,-0.2167,20.8667,297.31,77,87,0.61,CD
282,kongolo,-5.3833,27.0,294.12,40,75,1.34,CD
283,kattivakkam,13.2167,80.3167,302.2,77,100,8.58,IN
284,goundam,16.4145,-3.6708,306.78,35,95,4.71,ML
285,dickinson,29.4608,-95.0513,303.76,80,0,2.06,US
286,bukan,36.521,46.2089,295.61,54,0,1.08,IR
287,iguape,-24.7081,-47.5553,292.99,74,40,2.39,BR
288,nainpur,22.4333,80.1167,302.32,70,84,1.37,IN
289,razgrad,43.5333,26.5167,289.54,89,80,7.07,BG
290,sirte,31.2089,16.5887,300.57,81,0,5.84,LY
291,minas de marcona,-15.2119,-75.1103,285.39,87,48,4.9,PE
